system_id,sample_group_id,site_id,sample_group_name,sample_group_description,sampling_context_id,method_id,ProjektNr,Fustel,Befu,GrJahrBefu,Gebäude,okBefu,EVNr
117,,6,47,,,,DanaBunar2,,47,2000,,X,
118,,6,55,,,,DanaBunar2,,55,2000,,X,
119,,6,58,,,,DanaBunar2,,58,2000,,X,
120,,6,64,,,,DanaBunar2,,64,2000,,X,
121,,7,2709_fond,,,,Iswid,ISW,2709_fond,2013,?,X,
122,,7,2905 fond,,,,Iswid,ISW,2905 fond,,?,X,
123,,7,2913 fond,,,,Iswid,ISW,2913 fond,2013,?,X,
124,,7,foyer 2174,,,,Iswid,ISW,foyer 2174,2013,?,X,
125,,7,US 10503,,,,Iswid,ISW,US 10503,2013,yes,X,
126,,7,US 10521,,,,Iswid,ISW,US 10521,2013,?,X,
127,,7,US 10534,,,,Iswid,ISW,US 10534,2013,?,X,
128,,7,US 10610,,,,Iswid,ISW,US 10610,,?,X,
129,,7,US 11004,,,,Iswid,ISW,US 11004,,?,X,
130,,7,US 11012,,,,Iswid,ISW,US 11012,,?,X,
131,,7,US 11067,,,,Iswid,ISW,US 11067,2013,?,X,
132,,7,US 12025,,,,Iswid,ISW,US 12025,2013,?,X,
133,,7,US 12040,,,,Iswid,ISW,US 12040,,?,X,
134,,7,US 12047,,,,Iswid,ISW,US 12047,2013,?,X,
135,,7,US 12504,,,,Iswid,ISW,US 12504,2013,?,X,
136,,7,US 13017,,,,Iswid,ISW,US 13017,2015-2016,?,X,
137,,7,US 13065,,,,Iswid,ISW,US 13065,,?,X,
138,,7,US 13066,,,,Iswid,ISW,US 13066,,?,X,
139,,7,US 13083,,,,Iswid,ISW,US 13083,,?,X,
140,,7,US 13099,,,,Iswid,ISW,US 13099,,?,X,
141,,7,US 13145,,,,Iswid,ISW,US 13145,,?,X,
142,,7,US 13516,,,,Iswid,ISW,US 13516,,?,X,
143,,7,US 13526,,,,Iswid,ISW,US 13526,,?,X,
144,,7,US 13572,,,,Iswid,ISW,US 13572,,?,X,
145,,7,US 13610,,,,Iswid,ISW,US 13610,,?,X,
146,,7,US 13632,,,,Iswid,ISW,US 13632,,?,X,
147,,7,US 13639,,,,Iswid,ISW,US 13639,,?,X,
148,,7,US 13657,,,,Iswid,ISW,US 13657,,?,X,
149,,7,US 13705,,,,Iswid,ISW,US 13705,,?,X,
150,,7,US 13791,,,,Iswid,ISW,US 13791,,?,X,
151,,7,US 13791 (3),,,,Iswid,ISW,US 13791 (3),,?,X,
152,,7,US 13802,,,,Iswid,ISW,US 13802,,?,X,
153,,7,US 13971,,,,Iswid,ISW,US 13971,,?,X,
154,,7,US 14021,,,,Iswid,ISW,US 14021,,?,X,
155,,7,US 14038,,,,Iswid,ISW,US 14038,,?,X,
156,,7,US 14050,,,,Iswid,ISW,US 14050,,?,X,
157,,7,US 14078,,,,Iswid,ISW,US 14078,,?,X,
158,,7,US 14131,,,,Iswid,ISW,US 14131,,?,X,
159,,7,US 14158,,,,Iswid,ISW,US 14158,,?,X,
160,,7,US 14418,,,,Iswid,ISW,US 14418,,?,X,
161,,7,US 14495,,,,Iswid,ISW,US 14495,2016,yes,X,
162,,7,US 14509,,,,Iswid,ISW,US 14509,2016,?,X,
163,,7,US 14636,,,,Iswid,ISW,US 14636,2016,yes,X,
164,,7,US 15067,,,,Iswid,ISW,US 15067,2017,?,X,
165,,7,US 15071,,,,Iswid,ISW,US 15071,2017,?,X,
166,,7,US 15108,,,,Iswid,ISW,US 15108,2017,?,X,
167,,7,US 15140,,,,Iswid,ISW,US 15140,,?,X,
168,,7,US 16183,,,,Iswid,ISW,US 16183,2017,?,X,
169,,7,US 16287_F4185 (TR.),,,,Iswid,ISW,US 16287_F4185 (TR.),2017,?,X,
170,,7,US 16323_F4199(foye,,,,Iswid,ISW,US 16323_F4199(foye,2017,?,X,
171,,7,US 6712,,,,Iswid,ISW,US 6712,2010,?,X,
172,,7,US 6773,,,,Iswid,ISW,US 6773,2010,?,X,
173,,7,US 6803,,,,Iswid,ISW,US 6803,2010,?,X,
174,,7,US 6810,,,,Iswid,ISW,US 6810,2010,?,X,
175,,7,US 6827,,,,Iswid,ISW,US 6827,2010,?,X,
176,,7,US 6854,,,,Iswid,ISW,US 6854,2010,?,X,
177,,7,US 6863,,,,Iswid,ISW,US 6863,,?,X,
178,,7,US 6875,,,,Iswid,ISW,US 6875,2010,?,X,
179,,7,US 9036,,,,Iswid,ISW,US 9036,2010,yes,X,
180,,7,US 9200,,,,Iswid,ISW,US 9200,2011,?,X,
181,,7,US 9321,,,,Iswid,ISW,US 9321,2011,?,X,
182,,7,US 9404_foyer 2093,,,,Iswid,ISW,US 9404_foyer 2093,2011,?,X,
183,,7,US 9519,,,,Iswid,ISW,US 9519,2011,?,X,
184,,7,US 9859/9860,,,,Iswid,ISW,US 9859/9860,2012,?,X,
185,,7,US 9870_foyer2163,,,,Iswid,ISW,US 9870_foyer2163,2012,?,X,
186,,7,US 9880_foyer 2166,,,,Iswid,ISW,US 9880_foyer 2166,2012,?,X,
