system_id,feature_type_id,site_id,feature_type_name,feature_type_description,ProjektNr,Befu,BefuTyp,Fustel,EVNr
161,14,7,KultLauf,,Iswid,US 14495,KultLauf,ISW,
162,40,7,Kult,,Iswid,US 14509,Kult,ISW,
163,26,7,Pfo,,Iswid,US 14636,Pfo,ISW,
164,27,7,BefuTyp?,,Iswid,US 15067,BefuTyp?,ISW,
165,27,7,BefuTyp?,,Iswid,US 15071,BefuTyp?,ISW,
166,27,7,BefuTyp?,,Iswid,US 15108,BefuTyp?,ISW,
167,27,7,BefuTyp?,,Iswid,US 15140,BefuTyp?,ISW,
168,27,7,BefuTyp?,,Iswid,US 16183,BefuTyp?,ISW,
169,27,7,BefuTyp?,,Iswid,US 16287_F4185 (TR.),BefuTyp?,ISW,
170,27,7,BefuTyp?,,Iswid,US 16323_F4199(foye,BefuTyp?,ISW,
171,14,7,KultLauf,,Iswid,US 6712,KultLauf,ISW,
172,14,7,KultLauf,,Iswid,US 6773,KultLauf,ISW,
173,14,7,KultLauf,,Iswid,US 6803,KultLauf,ISW,
174,40,7,Kult,,Iswid,US 6810,Kult,ISW,
175,14,7,KultLauf,,Iswid,US 6827,KultLauf,ISW,
176,14,7,KultLauf,,Iswid,US 6854,KultLauf,ISW,
177,14,7,KultLauf,,Iswid,US 6863,KultLauf,ISW,
178,14,7,KultLauf,,Iswid,US 6875,KultLauf,ISW,
179,37,7,Of,,Iswid,US 9036,Of,ISW,
180,14,7,KultLauf,,Iswid,US 9200,KultLauf,ISW,
181,14,7,KultLauf,,Iswid,US 9321,KultLauf,ISW,
182,14,7,KultLauf,,Iswid,US 9404_foyer 2093,KultLauf,ISW,
183,14,7,KultLauf,,Iswid,US 9519,KultLauf,ISW,
184,14,7,KultLauf,,Iswid,US 9859/9860,KultLauf,ISW,
185,14,7,KultLauf,,Iswid,US 9870_foyer2163,KultLauf,ISW,
186,14,7,KultLauf,,Iswid,US 9880_foyer 2166,KultLauf,ISW,
