system_id,sample_coordinate_id,ProjektNr,Befu,ProbNr,coordinate_type,coordinate_value
146,,DanaBunar2,41,46 depth 0.30-0.40,KoordX,0.0
147,,DanaBunar2,42,10 depth 0.10-0.20,KoordX,0.0
148,,DanaBunar2,42,6 depth 0.00-0.10,KoordX,0.0
149,,DanaBunar2,42,7 depth 0.00-0.10,KoordX,0.0
150,,DanaBunar2,42,8 depth 0.10-0.20,KoordX,0.0
151,,DanaBunar2,42,9 depth 0.10-0.20,KoordX,0.0
152,,DanaBunar2,44,87 depth 0.06-0.16,KoordX,0.0
153,,DanaBunar2,44,88 depth 0.20-0.30,KoordX,0.0
154,,DanaBunar2,44,89 depth 0.30-0.40,KoordX,0.0
155,,DanaBunar2,44,90 depth 0.16-0.26,KoordX,0.0
156,,DanaBunar2,44,91 depth 0.10-0.20,KoordX,0.0
157,,DanaBunar2,44,92 depth 0.00-0.10,KoordX,0.0
158,,DanaBunar2,44,93 depth 0.30-0.40,KoordX,0.0
159,,DanaBunar2,46,30 depth 0.60-0.70,KoordX,0.0
160,,DanaBunar2,46,31 depth 0.50-0.60,KoordX,0.0
161,,DanaBunar2,46,32 depth 0.60-0.70,KoordX,0.0
162,,DanaBunar2,46,33 depth 0.30-0.40,KoordX,0.0
163,,DanaBunar2,46,34 depth 0.40-0.50,KoordX,0.0
164,,DanaBunar2,46,35 depth 0.30-0.40,KoordX,0.0
165,,DanaBunar2,47,49 depth 0.10-0.20,KoordX,0.0
166,,DanaBunar2,47,50 depth 0.10-0.20,KoordX,0.0
167,,DanaBunar2,55,54 depth 1.00-1.10,KoordX,0.0
168,,DanaBunar2,55,55 depth 1.00-1.10,KoordX,0.0
169,,DanaBunar2,58,23 depth 0.10-0.20,KoordX,0.0
170,,DanaBunar2,58,24 depth 0.30-0.40,KoordX,0.0
171,,DanaBunar2,58,25 depth 0.00-0.10,KoordX,0.0
172,,DanaBunar2,58,26 depth 0.10-0.20,KoordX,0.0
173,,DanaBunar2,58,27 depth 0.30-0.40,KoordX,0.0
174,,DanaBunar2,58,28 depth 0.20-0.30,KoordX,0.0
175,,DanaBunar2,64,11 depth 0.10-0.20,KoordX,0.0
176,,DanaBunar2,64,12 depth 0.36-0.46,KoordX,0.0
177,,DanaBunar2,64,13 depth 0.26-0.36,KoordX,0.0
178,,DanaBunar2,64,16 depth 0.48-0.58,KoordX,0.0
179,,Iswid,2709_fond,Isw 2013/32,KoordX,
180,,Iswid,2905 fond,Isw 2013/26,KoordX,
181,,Iswid,2913 fond,Isw 2013/33,KoordX,
182,,Iswid,foyer 2174,Isw 2013/15,KoordX,
183,,Iswid,US 10503,Isw 2013/8,KoordX,
184,,Iswid,US 10521,Isw 2013/20,KoordX,
185,,Iswid,US 10534,Isw 2013/21,KoordX,
186,,Iswid,US 10610,Isw 2013/25,KoordX,
187,,Iswid,US 11004,Isw 2013/22,KoordX,
188,,Iswid,US 11012,Isw 2013/27,KoordX,
189,,Iswid,US 11067,Isw 2013/28,KoordX,
190,,Iswid,US 12025,Isw 2013/25,KoordX,
191,,Iswid,US 12040,Isw 2013/29,KoordX,
192,,Iswid,US 12047,Isw 2013/30,KoordX,
193,,Iswid,US 12504,Isw 2013/31,KoordX,
194,,Iswid,US 13017,Isw 2015/18,KoordX,
195,,Iswid,US 13017,Isw 2016/41,KoordX,
196,,Iswid,US 13065,Isw 2015/25,KoordX,
197,,Iswid,US 13066,Isw 2015/4,KoordX,
198,,Iswid,US 13083,Isw 2015/22,KoordX,
199,,Iswid,US 13099,Isw 2015/9,KoordX,
200,,Iswid,US 13145,Isw 2015/21,KoordX,
201,,Iswid,US 13516,Isw 2015/8,KoordX,
202,,Iswid,US 13526,Isw 2015/2,KoordX,
203,,Iswid,US 13572,Isw 2015/12,KoordX,
204,,Iswid,US 13610,Isw 2015/11,KoordX,
205,,Iswid,US 13632,Isw 2016/15,KoordX,
206,,Iswid,US 13639,Isw2015/26,KoordX,
207,,Iswid,US 13657,Isw 2015/17,KoordX,
208,,Iswid,US 13705,Isw 2015/10,KoordX,
209,,Iswid,US 13791,Isw 2015/5,KoordX,
210,,Iswid,US 13791 (3),Isw 2015/7,KoordX,
211,,Iswid,US 13802,Isw 2015/20,KoordX,
212,,Iswid,US 13971,Isw 2015/7,KoordX,
213,,Iswid,US 14021,Isw 2015/1,KoordX,
214,,Iswid,US 14038,Isw 2015/3,KoordX,
215,,Iswid,US 14050,Isw 2015/24,KoordX,
216,,Iswid,US 14078,Isw 2916/23,KoordX,
217,,Iswid,US 14131,Isw 2015/13,KoordX,
218,,Iswid,US 14131,Isw 2016/12,KoordX,
219,,Iswid,US 14158,Isw 2015/14,KoordX,
220,,Iswid,US 14418,Isw 2016/34,KoordX,
221,,Iswid,US 14495,Isw 16/37,KoordX,
222,,Iswid,US 14509,16-Jan,KoordX,
223,,Iswid,US 14636,Isw 16/35,KoordX,
224,,Iswid,US 15067,Isw 2017/7,KoordX,
225,,Iswid,US 15071,Isw 17/4,KoordX,
226,,Iswid,US 15108,Isw 17/1,KoordX,
227,,Iswid,US 15140,Isw17/26,KoordX,
228,,Iswid,US 16183,Isw 2017/8,KoordX,
