system_id,sample_chronological_period_id,chronological_period_id,sample_id,taxon_id,BNam,Befu,ChronoDat,ChronoDat Beschreibung,ProbNr,ProjektNr,TaxAut
128,,1,7,47,Hordeum distichon/vulgare Nacktgerste,A11148,,,19_0013_0014,19_0013,
129,,1,7,48,Hordeum distichon/vulgare Spelzgerste,A11148,,,19_0013_0014,19_0013,
130,,1,7,36,Indeterminata,A11148,,,19_0013_0014,19_0013,
131,,1,7,52,Poaceae,A11148,,,19_0013_0014,19_0013,
132,,1,7,50,Polygonum lapathifolium agg.,A11148,,,19_0013_0014,19_0013,L.
133,,1,7,13,Polygonum convolvulus,A11148,,,19_0013_0014,19_0013,(L.) A. Löve
134,,1,7,42,Rumex crispus,A11148,,,19_0013_0014,19_0013,L.
135,,1,7,53,Rumex acetosella agg.,A11148,,,19_0013_0014,19_0013,
136,,1,7,20,Spergula arvensis,A11148,,,19_0013_0014,19_0013,L.
137,,1,7,21,Stellaria graminea,A11148,,,19_0013_0014,19_0013,L.
138,,1,7,22,Stellaria media,A11148,,,19_0013_0014,19_0013,
139,,1,7,54,Thlaspi arvense,A11148,,,19_0013_0014,19_0013,L.
140,,1,8,44,Cerealia indet.,A11148,,,19_0013_0015,19_0013,
141,,1,8,6,Chenopodium album,A11148,,,19_0013_0015,19_0013,L.
142,,1,8,36,Indeterminata,A11148,,,19_0013_0015,19_0013,
143,,1,8,50,Polygonum lapathifolium agg.,A11148,,,19_0013_0015,19_0013,L.
144,,1,8,13,Polygonum convolvulus,A11148,,,19_0013_0015,19_0013,(L.) A. Löve
145,,1,8,20,Spergula arvensis,A11148,,,19_0013_0015,19_0013,L.
146,,1,8,22,Stellaria media,A11148,,,19_0013_0015,19_0013,
147,,1,9,35,Carex spec.,A11148,,,19_0013_0020,19_0013,
148,,1,9,44,Cerealia indet.,A11148,,,19_0013_0020,19_0013,
149,,1,9,6,Chenopodium album,A11148,,,19_0013_0020,19_0013,L.
150,,1,9,8,Galeopsis spec.,A11148,,,19_0013_0020,19_0013,L.
151,,1,9,55,Galium spec.,A11148,,,19_0013_0020,19_0013,L.
152,,1,9,52,Poaceae,A11148,,,19_0013_0020,19_0013,
153,,1,9,50,Polygonum lapathifolium agg.,A11148,,,19_0013_0020,19_0013,L.
154,,1,9,13,Polygonum convolvulus,A11148,,,19_0013_0020,19_0013,(L.) A. Löve
155,,1,9,53,Rumex acetosella agg.,A11148,,,19_0013_0020,19_0013,
156,,1,9,56,Rumex spec.,A11148,,,19_0013_0020,19_0013,L.
157,,1,9,20,Spergula arvensis,A11148,,,19_0013_0020,19_0013,L.
158,,1,9,22,Stellaria media,A11148,,,19_0013_0020,19_0013,
159,,1,10,35,Carex spec.,A479,,,19_0013_0010,19_0013,
160,,1,10,44,Cerealia indet.,A479,,,19_0013_0010,19_0013,
161,,1,10,8,Galeopsis spec.,A479,,,19_0013_0010,19_0013,L.
162,,1,10,45,Galium spurium,A479,,,19_0013_0010,19_0013,L.
163,,1,10,46,Hordeum distichon/vulgare,A479,,,19_0013_0010,19_0013,L./L.
164,,1,10,48,Hordeum distichon/vulgare Spelzgerste,A479,,,19_0013_0010,19_0013,
165,,1,10,36,Indeterminata,A479,,,19_0013_0010,19_0013,
166,,1,10,50,Polygonum lapathifolium agg.,A479,,,19_0013_0010,19_0013,L.
167,,1,10,20,Spergula arvensis,A479,,,19_0013_0010,19_0013,L.
168,,1,10,22,Stellaria media,A479,,,19_0013_0010,19_0013,
169,,1,11,51,Carex spec. tricarpellat,A479,,,19_0013_0011,19_0013,
170,,1,11,44,Cerealia indet.,A479,,,19_0013_0011,19_0013,
171,,1,11,6,Chenopodium album,A479,,,19_0013_0011,19_0013,L.
172,,1,11,45,Galium spurium,A479,,,19_0013_0011,19_0013,L.
173,,1,11,10,Eleocharis,A479,,,19_0013_0011,19_0013,
174,,1,11,48,Hordeum distichon/vulgare Spelzgerste,A479,,,19_0013_0011,19_0013,
175,,1,11,36,Indeterminata,A479,,,19_0013_0011,19_0013,
176,,1,11,52,Poaceae,A479,,,19_0013_0011,19_0013,
177,,1,11,50,Polygonum lapathifolium agg.,A479,,,19_0013_0011,19_0013,L.
178,,1,11,20,Spergula arvensis,A479,,,19_0013_0011,19_0013,L.
179,,1,11,22,Stellaria media,A479,,,19_0013_0011,19_0013,
180,,1,11,54,Thlaspi arvense,A479,,,19_0013_0011,19_0013,L.
181,,1,12,35,Carex spec.,A479,,,19_0013_0012,19_0013,
182,,1,12,44,Cerealia indet.,A479,,,19_0013_0012,19_0013,
183,,1,12,6,Chenopodium album,A479,,,19_0013_0012,19_0013,L.
184,,1,12,45,Galium spurium,A479,,,19_0013_0012,19_0013,L.
185,,1,12,46,Hordeum distichon/vulgare,A479,,,19_0013_0012,19_0013,L./L.
186,,1,12,17,Rubus idaeus,A479,,,19_0013_0012,19_0013,L.
187,,1,12,20,Spergula arvensis,A479,,,19_0013_0012,19_0013,L.
188,,1,12,22,Stellaria media,A479,,,19_0013_0012,19_0013,
189,,1,13,43,Avena sativa,A479,,,19_0013_0019,19_0013,L.
190,,1,13,35,Carex spec.,A479,,,19_0013_0019,19_0013,
191,,1,13,44,Cerealia indet.,A479,,,19_0013_0019,19_0013,
192,,1,13,6,Chenopodium album,A479,,,19_0013_0019,19_0013,L.
193,,1,13,27,Corylus avellana,A479,,,19_0013_0019,19_0013,L.
194,,1,13,45,Galium spurium,A479,,,19_0013_0019,19_0013,L.
195,,1,13,50,Polygonum lapathifolium agg.,A479,,,19_0013_0019,19_0013,L.
196,,1,13,20,Spergula arvensis,A479,,,19_0013_0019,19_0013,L.
197,,1,13,22,Stellaria media,A479,,,19_0013_0019,19_0013,
198,,1,14,44,Cerealia indet.,A6214,,,19_0013_0007,19_0013,
199,,1,14,6,Chenopodium album,A6214,,,19_0013_0007,19_0013,L.
