system_id,sample_archaeological_period_id,archaeological_period_id,sample_id,taxon_id,ArchDat,ArchDat_Beschreibung,BNam,Befu,ProbNr,ProjektNr,TaxAut
108,,3,6,45,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Galium spurium,A11148,19_0013_0013,19_0013,L.
109,,3,6,46,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Hordeum distichon/vulgare,A11148,19_0013_0013,19_0013,L./L.
110,,3,6,47,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Hordeum distichon/vulgare Nacktgerste,A11148,19_0013_0013,19_0013,
111,,3,6,48,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Hordeum distichon/vulgare Spelzgerste,A11148,19_0013_0013,19_0013,
112,,3,6,36,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Indeterminata,A11148,19_0013_0013,19_0013,
113,,3,6,49,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Lamium spec.,A11148,19_0013_0013,19_0013,L.
114,,3,6,50,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum lapathifolium agg.,A11148,19_0013_0013,19_0013,L.
115,,3,6,13,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum convolvulus,A11148,19_0013_0013,19_0013,(L.) A. Löve
116,,3,6,18,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Silene spec.,A11148,19_0013_0013,19_0013,L.
117,,3,6,20,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Spergula arvensis,A11148,19_0013_0013,19_0013,L.
118,,3,6,21,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Stellaria graminea,A11148,19_0013_0013,19_0013,L.
119,,3,6,22,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Stellaria media,A11148,19_0013_0013,19_0013,
120,,3,7,43,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Avena sativa,A11148,19_0013_0014,19_0013,L.
121,,3,7,35,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Carex spec.,A11148,19_0013_0014,19_0013,
122,,3,7,51,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Carex spec. tricarpellat,A11148,19_0013_0014,19_0013,
123,,3,7,44,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Cerealia indet.,A11148,19_0013_0014,19_0013,
124,,3,7,6,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Chenopodium album,A11148,19_0013_0014,19_0013,L.
125,,3,7,27,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Corylus avellana,A11148,19_0013_0014,19_0013,L.
126,,3,7,8,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Galeopsis spec.,A11148,19_0013_0014,19_0013,L.
127,,3,7,45,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Galium spurium,A11148,19_0013_0014,19_0013,L.
128,,3,7,47,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Hordeum distichon/vulgare Nacktgerste,A11148,19_0013_0014,19_0013,
129,,3,7,48,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Hordeum distichon/vulgare Spelzgerste,A11148,19_0013_0014,19_0013,
130,,3,7,36,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Indeterminata,A11148,19_0013_0014,19_0013,
131,,3,7,52,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Poaceae,A11148,19_0013_0014,19_0013,
132,,3,7,50,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum lapathifolium agg.,A11148,19_0013_0014,19_0013,L.
133,,3,7,13,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum convolvulus,A11148,19_0013_0014,19_0013,(L.) A. Löve
134,,3,7,42,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Rumex crispus,A11148,19_0013_0014,19_0013,L.
135,,3,7,53,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Rumex acetosella agg.,A11148,19_0013_0014,19_0013,
136,,3,7,20,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Spergula arvensis,A11148,19_0013_0014,19_0013,L.
137,,3,7,21,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Stellaria graminea,A11148,19_0013_0014,19_0013,L.
138,,3,7,22,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Stellaria media,A11148,19_0013_0014,19_0013,
139,,3,7,54,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Thlaspi arvense,A11148,19_0013_0014,19_0013,L.
140,,3,8,44,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Cerealia indet.,A11148,19_0013_0015,19_0013,
141,,3,8,6,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Chenopodium album,A11148,19_0013_0015,19_0013,L.
142,,3,8,36,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Indeterminata,A11148,19_0013_0015,19_0013,
143,,3,8,50,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum lapathifolium agg.,A11148,19_0013_0015,19_0013,L.
144,,3,8,13,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Polygonum convolvulus,A11148,19_0013_0015,19_0013,(L.) A. Löve
145,,3,8,20,ScanJärn,Järnåldern (500 f. Kr. - ca 1000 e. Kr.),Spergula arvensis,A11148,19_0013_0015,19_0013,L.
