system_id,sample_sample_type_id,type_name,description,ProbTyp,Befu,ProbNr,ProjektNr
142,,Eim,,Eim,38,5 depth 0.30-0.50,DanaBunar2
143,,Eim,,Eim,39,47 depth 0.00-0.10,DanaBunar2
144,,Eim,,Eim,39,48 depth 0.10-0.20,DanaBunar2
145,,Eim,,Eim,41,44 depth 0.00-0.10,DanaBunar2
146,,Eim,,Eim,41,46 depth 0.30-0.40,DanaBunar2
147,,Eim,,Eim,42,10 depth 0.10-0.20,DanaBunar2
148,,Eim,,Eim,42,6 depth 0.00-0.10,DanaBunar2
149,,Eim,,Eim,42,7 depth 0.00-0.10,DanaBunar2
150,,Eim,,Eim,42,8 depth 0.10-0.20,DanaBunar2
151,,Eim,,Eim,42,9 depth 0.10-0.20,DanaBunar2
152,,Eim,,Eim,44,87 depth 0.06-0.16,DanaBunar2
153,,Eim,,Eim,44,88 depth 0.20-0.30,DanaBunar2
154,,Eim,,Eim,44,89 depth 0.30-0.40,DanaBunar2
155,,Eim,,Eim,44,90 depth 0.16-0.26,DanaBunar2
156,,Eim,,Eim,44,91 depth 0.10-0.20,DanaBunar2
157,,Eim,,Eim,44,92 depth 0.00-0.10,DanaBunar2
158,,Eim,,Eim,44,93 depth 0.30-0.40,DanaBunar2
159,,Eim,,Eim,46,30 depth 0.60-0.70,DanaBunar2
160,,Eim,,Eim,46,31 depth 0.50-0.60,DanaBunar2
161,,Eim,,Eim,46,32 depth 0.60-0.70,DanaBunar2
162,,Eim,,Eim,46,33 depth 0.30-0.40,DanaBunar2
163,,Eim,,Eim,46,34 depth 0.40-0.50,DanaBunar2
164,,Eim,,Eim,46,35 depth 0.30-0.40,DanaBunar2
165,,Eim,,Eim,47,49 depth 0.10-0.20,DanaBunar2
166,,Eim,,Eim,47,50 depth 0.10-0.20,DanaBunar2
167,,Eim,,Eim,55,54 depth 1.00-1.10,DanaBunar2
168,,Eim,,Eim,55,55 depth 1.00-1.10,DanaBunar2
169,,Eim,,Eim,58,23 depth 0.10-0.20,DanaBunar2
170,,Eim,,Eim,58,24 depth 0.30-0.40,DanaBunar2
171,,Eim,,Eim,58,25 depth 0.00-0.10,DanaBunar2
172,,Eim,,Eim,58,26 depth 0.10-0.20,DanaBunar2
173,,Eim,,Eim,58,27 depth 0.30-0.40,DanaBunar2
174,,Eim,,Eim,58,28 depth 0.20-0.30,DanaBunar2
175,,Eim,,Eim,64,11 depth 0.10-0.20,DanaBunar2
176,,Eim,,Eim,64,12 depth 0.36-0.46,DanaBunar2
177,,Eim,,Eim,64,13 depth 0.26-0.36,DanaBunar2
178,,Eim,,Eim,64,16 depth 0.48-0.58,DanaBunar2
179,,Eim,,Eim,2709_fond,Isw 2013/32,Iswid
180,,Eim,,Eim,2905 fond,Isw 2013/26,Iswid
181,,Eim,,Eim,2913 fond,Isw 2013/33,Iswid
182,,Eim,,Eim,foyer 2174,Isw 2013/15,Iswid
183,,Eim,,Eim,US 10503,Isw 2013/8,Iswid
184,,Eim,,Eim,US 10521,Isw 2013/20,Iswid
185,,Eim,,Eim,US 10534,Isw 2013/21,Iswid
186,,Eim,,Eim,US 10610,Isw 2013/25,Iswid
187,,Eim,,Eim,US 11004,Isw 2013/22,Iswid
188,,Eim,,Eim,US 11012,Isw 2013/27,Iswid
