system_id,sample_id,feature_id,sample_group_id,sample_type_id,alt_ref_type_id,date_sampled,sample_name,Befu,EDatProb,ProbNr,ProbTyp,ProjektNr
152,,115,115,1,,2021-11-16,44,44,2021-11-16,87 depth 0.06-0.16,Eim,DanaBunar2
153,,115,115,1,,2021-11-16,44,44,2021-11-16,88 depth 0.20-0.30,Eim,DanaBunar2
154,,115,115,1,,2021-11-16,44,44,2021-11-16,89 depth 0.30-0.40,Eim,DanaBunar2
155,,115,115,1,,2021-11-16,44,44,2021-11-16,90 depth 0.16-0.26,Eim,DanaBunar2
156,,115,115,1,,2021-11-16,44,44,2021-11-16,91 depth 0.10-0.20,Eim,DanaBunar2
157,,115,115,1,,2021-11-16,44,44,2021-11-16,92 depth 0.00-0.10,Eim,DanaBunar2
158,,115,115,1,,2021-11-16,44,44,2021-11-16,93 depth 0.30-0.40,Eim,DanaBunar2
159,,116,116,1,,2021-11-16,46,46,2021-11-16,30 depth 0.60-0.70,Eim,DanaBunar2
160,,116,116,1,,2021-11-16,46,46,2021-11-16,31 depth 0.50-0.60,Eim,DanaBunar2
161,,116,116,1,,2021-11-16,46,46,2021-11-16,32 depth 0.60-0.70,Eim,DanaBunar2
162,,116,116,1,,2021-11-16,46,46,2021-11-16,33 depth 0.30-0.40,Eim,DanaBunar2
163,,116,116,1,,2021-11-16,46,46,2021-11-16,34 depth 0.40-0.50,Eim,DanaBunar2
164,,116,116,1,,2021-11-16,46,46,2021-11-16,35 depth 0.30-0.40,Eim,DanaBunar2
165,,117,117,1,,2021-11-16,47,47,2021-11-16,49 depth 0.10-0.20,Eim,DanaBunar2
166,,117,117,1,,2021-11-16,47,47,2021-11-16,50 depth 0.10-0.20,Eim,DanaBunar2
167,,118,118,1,,2021-11-16,55,55,2021-11-16,54 depth 1.00-1.10,Eim,DanaBunar2
168,,118,118,1,,2021-11-16,55,55,2021-11-16,55 depth 1.00-1.10,Eim,DanaBunar2
169,,119,119,1,,2021-11-16,58,58,2021-11-16,23 depth 0.10-0.20,Eim,DanaBunar2
170,,119,119,1,,2021-11-16,58,58,2021-11-16,24 depth 0.30-0.40,Eim,DanaBunar2
171,,119,119,1,,2021-11-16,58,58,2021-11-16,25 depth 0.00-0.10,Eim,DanaBunar2
172,,119,119,1,,2021-11-16,58,58,2021-11-16,26 depth 0.10-0.20,Eim,DanaBunar2
173,,119,119,1,,2021-11-16,58,58,2021-11-16,27 depth 0.30-0.40,Eim,DanaBunar2
174,,119,119,1,,2021-11-16,58,58,2021-11-16,28 depth 0.20-0.30,Eim,DanaBunar2
175,,120,120,1,,2021-11-16,64,64,2021-11-16,11 depth 0.10-0.20,Eim,DanaBunar2
176,,120,120,1,,2021-11-16,64,64,2021-11-16,12 depth 0.36-0.46,Eim,DanaBunar2
177,,120,120,1,,2021-11-16,64,64,2021-11-16,13 depth 0.26-0.36,Eim,DanaBunar2
178,,120,120,1,,2021-11-16,64,64,2021-11-16,16 depth 0.48-0.58,Eim,DanaBunar2
179,,121,121,1,,2020-07-11,2709_fond,2709_fond,2020-07-11,Isw 2013/32,Eim,Iswid
180,,122,122,1,,2014-09-23,2905 fond,2905 fond,2014-09-23,Isw 2013/26,Eim,Iswid
181,,123,123,1,,2014-07-20,2913 fond,2913 fond,2014-07-20,Isw 2013/33,Eim,Iswid
182,,124,124,1,,2014-10-10,foyer 2174,foyer 2174,2014-10-10,Isw 2013/15,Eim,Iswid
183,,125,125,1,,2014-07-19,US 10503,US 10503,2014-07-19,Isw 2013/8,Eim,Iswid
184,,126,126,1,,2014-07-20,US 10521,US 10521,2014-07-20,Isw 2013/20,Eim,Iswid
185,,127,127,1,,2014-07-20,US 10534,US 10534,2014-07-20,Isw 2013/21,Eim,Iswid
186,,128,128,1,,2014-09-23,US 10610,US 10610,2014-09-23,Isw 2013/25,Eim,Iswid
187,,129,129,1,,2014-09-23,US 11004,US 11004,2014-09-23,Isw 2013/22,Eim,Iswid
188,,130,130,1,,2014-09-23,US 11012,US 11012,2014-09-23,Isw 2013/27,Eim,Iswid
