sample_id,taxon_id,PCODE,ProjektNr,Befu,ProbNr,TaxAut,BNam
9,53,RUMAC,19_0013,A11148,19_0013_0020,,Rumex acetosella agg.
9,56,RUME,19_0013,A11148,19_0013_0020,L.,Rumex spec.
9,20,SPARV,19_0013,A11148,19_0013_0020,L.,Spergula arvensis
9,22,STMES,19_0013,A11148,19_0013_0020,,Stellaria media
10,35,CARE,19_0013,A479,19_0013_0010,,Carex spec.
10,44,CEREA,19_0013,A479,19_0013_0010,,Cerealia indet.
10,8,GAIS,19_0013,A479,19_0013_0010,L.,Galeopsis spec.
10,45,GASPU,19_0013,A479,19_0013_0010,L.,Galium spurium
10,46,HODIV,19_0013,A479,19_0013_0010,L./L.,Hordeum distichon/vulgare
10,48,HODVS,19_0013,A479,19_0013_0010,,Hordeum distichon/vulgare Spelzgerste
10,36,INDET,19_0013,A479,19_0013_0010,,Indeterminata
10,50,POLAP,19_0013,A479,19_0013_0010,L.,Polygonum lapathifolium agg.
10,20,SPARV,19_0013,A479,19_0013_0010,L.,Spergula arvensis
10,22,STMES,19_0013,A479,19_0013_0010,,Stellaria media
11,51,CATRI,19_0013,A479,19_0013_0011,,Carex spec. tricarpellat
11,44,CEREA,19_0013,A479,19_0013_0011,,Cerealia indet.
11,6,CHALB,19_0013,A479,19_0013_0011,L.,Chenopodium album
11,45,GASPU,19_0013,A479,19_0013_0011,L.,Galium spurium
11,10,HELE,19_0013,A479,19_0013_0011,,Eleocharis
11,48,HODVS,19_0013,A479,19_0013_0011,,Hordeum distichon/vulgare Spelzgerste
11,36,INDET,19_0013,A479,19_0013_0011,,Indeterminata
11,36,INDET,19_0013,A479,19_0013_0011,,Indeterminata
11,52,POACE,19_0013,A479,19_0013_0011,,Poaceae
11,50,POLAP,19_0013,A479,19_0013_0011,L.,Polygonum lapathifolium agg.
11,20,SPARV,19_0013,A479,19_0013_0011,L.,Spergula arvensis
11,22,STMES,19_0013,A479,19_0013_0011,,Stellaria media
11,54,THARV,19_0013,A479,19_0013_0011,L.,Thlaspi arvense
12,35,CARE,19_0013,A479,19_0013_0012,,Carex spec.
12,44,CEREA,19_0013,A479,19_0013_0012,,Cerealia indet.
12,6,CHALB,19_0013,A479,19_0013_0012,L.,Chenopodium album
12,45,GASPU,19_0013,A479,19_0013_0012,L.,Galium spurium
12,46,HODIV,19_0013,A479,19_0013_0012,L./L.,Hordeum distichon/vulgare
12,17,RUIDA,19_0013,A479,19_0013_0012,L.,Rubus idaeus
12,20,SPARV,19_0013,A479,19_0013_0012,L.,Spergula arvensis
12,22,STMES,19_0013,A479,19_0013_0012,,Stellaria media
13,43,AVSAT,19_0013,A479,19_0013_0019,L.,Avena sativa
13,35,CARE,19_0013,A479,19_0013_0019,,Carex spec.
13,44,CEREA,19_0013,A479,19_0013_0019,,Cerealia indet.
13,6,CHALB,19_0013,A479,19_0013_0019,L.,Chenopodium album
13,27,COAVE,19_0013,A479,19_0013_0019,L.,Corylus avellana
13,45,GASPU,19_0013,A479,19_0013_0019,L.,Galium spurium
13,50,POLAP,19_0013,A479,19_0013_0019,L.,Polygonum lapathifolium agg.
13,20,SPARV,19_0013,A479,19_0013_0019,L.,Spergula arvensis
13,22,STMES,19_0013,A479,19_0013_0019,,Stellaria media
14,44,CEREA,19_0013,A6214,19_0013_0007,,Cerealia indet.
14,6,CHALB,19_0013,A6214,19_0013_0007,L.,Chenopodium album
14,27,COAVE,19_0013,A6214,19_0013_0007,L.,Corylus avellana
14,45,GASPU,19_0013,A6214,19_0013_0007,L.,Galium spurium
14,50,POLAP,19_0013,A6214,19_0013_0007,L.,Polygonum lapathifolium agg.
14,16,RANU,19_0013,A6214,19_0013_0007,L.,Ranunculus spec.
14,57,SONIG,19_0013,A6214,19_0013_0007,L.,Solanum nigrum
14,20,SPARV,19_0013,A6214,19_0013_0007,L.,Spergula arvensis
14,22,STMES,19_0013,A6214,19_0013_0007,,Stellaria media
15,58,BRAS,19_0013,A6214,19_0013_0008,L.,Brassica spec.
15,44,CEREA,19_0013,A6214,19_0013_0008,,Cerealia indet.
15,6,CHALB,19_0013,A6214,19_0013_0008,L.,Chenopodium album
15,46,HODIV,19_0013,A6214,19_0013_0008,L./L.,Hordeum distichon/vulgare
15,36,INDET,19_0013,A6214,19_0013_0008,,Indeterminata
15,50,POLAP,19_0013,A6214,19_0013_0008,L.,Polygonum lapathifolium agg.
15,22,STMES,19_0013,A6214,19_0013_0008,,Stellaria media
15,59,TRAED,19_0013,A6214,19_0013_0008,L./L.,Triticum aestivum s.l./durum/turgidum
16,35,CARE,19_0013,A6214,19_0013_0009,,Carex spec.
