system_id,sample_method_id,ProjektNr,Befu,ProbNr,method_type,method_name
268,,19_0013,A9063,19_0013_0001,"ORG1,0",ja
269,,19_0013,A9063,19_0013_0002,"ORG1,0",ja
270,,19_0013,A9063,19_0013_0003,"ORG1,0",ja
271,,19_0013,A9063,19_0013_0016,"ORG1,0",ja
272,,19_0014,A10143,19_0014_0040,"ORG1,0",ja
273,,19_0014,A10153,19_0014_0037,"ORG1,0",ja
274,,19_0014,A10189,19_0014_0042,"ORG1,0",ja
275,,19_0014,A10229,19_0014_0039,"ORG1,0",ja
276,,19_0014,A10697,19_0014_0067,"ORG1,0",ja
277,,19_0014,A10990,19_0014_0055,"ORG1,0",ja
278,,19_0014,A11339,19_0014_0068,"ORG1,0",ja
279,,19_0014,A1196,19_0014_0044,"ORG1,0",ja
280,,19_0014,A12024,19_0014_0056,"ORG1,0",ja
281,,19_0014,A12024,19_0014_0057,"ORG1,0",ja
282,,19_0014,A12034,19_0014_0058,"ORG1,0",ja
283,,19_0014,A12435,19_0014_0069,"ORG1,0",ja
284,,19_0014,A13064,19_0014_0071,"ORG1,0",ja
285,,19_0014,A13200,19_0014_0041,"ORG1,0",ja
286,,19_0014,A13299,19_0014_0072,"ORG1,0",ja
287,,19_0014,A13837,19_0014_0060,"ORG1,0",ja
288,,19_0014,A15333,19_0014_0061,"ORG1,0",ja
289,,19_0014,A15344,19_0014_0074,"ORG1,0",ja
290,,19_0014,A15554,19_0014_0075,"ORG1,0",ja
291,,19_0014,A15736,19_0014_0059,"ORG1,0",ja
292,,19_0014,A16771,19_0014_0008,"ORG1,0",ja
293,,19_0014,A16783,19_0014_0005,"ORG1,0",ja
294,,19_0014,A17294,19_0014_0016,"ORG1,0",ja
295,,19_0014,A1875,19_0014_0046,"ORG1,0",ja
296,,19_0014,A1931,19_0014_0047,"ORG1,0",ja
297,,19_0014,A1998,19_0014_0048,"ORG1,0",ja
298,,19_0014,A2019,19_0014_0049,"ORG1,0",ja
299,,19_0014,A2029,19_0014_0050,"ORG1,0",ja
