system_id,plant_sociological_behaviour_id,PCODE,G,G_u,Kl,Kl_u,O,O_u,Soz,Soz_u,U,U_u,V,V_u,Ökogruppe,Ökogruppe_u
146,,PAMIL,,,,,,,,,,,,,5.0,
147,,PHPRP,,,,,,,,,,,,,,
148,,PISAT,,,,,,,,,,,,,5.0,
149,,SCANA,3,,4.0,,2.0,,3.421,,,,1.0,,7.0,!
150,,CHRUB,3,,2.0,,1.0,,3.212,,,,2.0,,3.0,!
151,,ECCRU,3,,,,,,3,,,,,,4.0,!
152,,LITAR,3,,4.0,,,,3.4,,,,,,7.0,
153,,MALV,,,,,,,,,,,,,4.0,!
154,,VIERV,,,,,,,,,,,,,5.0,
155,,CUMSA,,,,,,,,,,,,,,
156,,LACIS,,,,,,,,,,,,,5.0,
157,,LABIA,,,,,,,,,,,,,11.0,
158,,SEITA,,,,,,,,,,,,,5.0,
159,,MEDI,,,,,,,,,,,,,,
160,,Laleib,,,,,,,,,,,,,5.0,
161,,SALV,,,,,,,,,,,,,2.0,
162,,SCHO,,,,,,,,,,,,,1.0,
163,,SEGLA,3,,3.0,,1.0,,3.31,,,,,,6.0,
164,,SETA,,,,,,,,,,,,,11.0,
165,,HOVUL,,,,,,,,,,,,,5.0,
166,,LOTEM,3,,4.0,,,,3.4,,,,,,7.0,
167,,Phami,,,,,,,,,,,,,4.0,
168,,LOLI,,,,,,,,,,,,,11.0,
169,,PHAL,,,,,,,,,,,,,,
170,,Polypo,,,,,,,,,,,,,4.0,
171,,HELE,,,,,,,,,,,,,1.0,
172,,ACAC,,,,,,,,,,,,,14.0,
173,,ANGMO,,,,,,,,,,,,,,
174,,CYPE,,,,,,,,,,,,,1.0,
175,,CYPER,,,,,,,,,,,,,11.0,
176,,PHRA,,,,,,,,,,,,,1.0,
177,,Rucrden,,,,,,,,,,,,,1.0,
178,,SOLAN,,,,,,,,,,,,,11.0,
179,,TAMA,,,,,,,,,,,,,,
180,,CUMEL,,,,,,,,,,,,,8.0,
181,,HOVUS,,,,,,,,,,,,,5.0,
182,,VICKF,,,,,,,,,,,,,,
183,,FABAK,,,,,,,,,,,,,5.0,
184,,LahVi,,,,,,,,,,,,,7.0,
185,,CYROT,,,,,,,,,,,,,,
186,,HORD4,,,,,,,,,,,,,5.0,
187,,POGO,,,,,,,,,,,,,11.0,
188,,VIHIT,3,,,,,,3.4,,,,,,7.0,
189,,ISOL,,,,,,,,,,,,,1.0,
190,,BOLB,,,,,,,,,,,,,1.0,
191,,LAHIR,3,,4.0,,,,3.4,,,,,,7.0,
192,,Fisyc,,,,,,,,,,,,,8.0,
193,,Anpse,,,,,,,,,,,,,14.0,
194,,Cornilot,,,,,,,,,,,,,1.0,
195,,Glilot,,,,,,,,,,,,,1.0,
196,,HORD,,,,,,,,,,,,,11.0,
197,,LITH,,,,,,,,,,,,,11.0,
198,,Aelur,,,,,,,,,,,,,1.0,
199,,ANGRA,,,,,,,,,,,,,8.0,
200,,Ficus,,,,,,,,,,,,,8.0,
201,,FIMB,,,,,,,,,,,,,1.0,
202,,Oryzm,,,,,,,,,,,,,3.0,
203,,Pelaplan,,,,,,,,,,,,,1.0,
204,,SCORP,,,,,,,,,,,,,3.0,
205,,BRASS,,,,,,,,,,,,,11.0,
206,,ORIG,,,,,,,,,,,,,,
207,,ORNI,,,,,,,,,,,,,,
208,,HIVUL,1,!,5.0,!,1.0,!,1.511,!,,,1.0,!,1.0,
209,,ZIJUJ,,,,,,,,,,,,,,
210,,DIGI,,,,,,,,,,,,,6.0,
211,,ECHSE,,,,,,,,,,,,,4.0,
212,,MEDTR,,,,,,,,,,,,,2.0,!
213,,VITET,3,!,4.0,!,2.0,!,3.421,!,,,1.0,!,7.0,
214,,PULI,,,,,,,,,,,,,14.0,
215,,ARNE,,,,,,,,,,,,,14.0,
216,,CHENO,,,,,,,,,,,,,11.0,
217,,SHER,,,,,,,,,,,,,,
218,,PANIC,,,,,,,,,,,,,11.0,
219,,LINU,,,,,,,,,,,,,11.0,
220,,JUNC,,,,,,,,,,,,,2.0,!
221,,PORT,,,,,,,,,,,,,,
222,,ANCOT,3,,4.0,,,,3.4,,,,,,7.0,
223,,AMVIS,,,,,,,,,,,,,,
224,,BEERE,1,,5.0,,1.0,,1.513,,,,3.0,,1.0,
225,,CAPP,,,,,,,,,,,,,,
226,,GYMNO,,,,,,,,,,,,,,
227,,VITI,,,,,,,,,,,,,8.0,!
