system_id,sample_cultural_group_id,cultural_group_id,sample_id,Befu,KultGr,ProbNr,ProjektNr
141,,1,141,38,nicht gewählt,4 depth 0.00-0.10,DanaBunar2
142,,1,142,38,nicht gewählt,5 depth 0.30-0.50,DanaBunar2
143,,1,143,39,nicht gewählt,47 depth 0.00-0.10,DanaBunar2
144,,1,144,39,nicht gewählt,48 depth 0.10-0.20,DanaBunar2
145,,1,145,41,nicht gewählt,44 depth 0.00-0.10,DanaBunar2
146,,1,146,41,nicht gewählt,46 depth 0.30-0.40,DanaBunar2
147,,1,147,42,nicht gewählt,10 depth 0.10-0.20,DanaBunar2
148,,1,148,42,nicht gewählt,6 depth 0.00-0.10,DanaBunar2
149,,1,149,42,nicht gewählt,7 depth 0.00-0.10,DanaBunar2
150,,1,150,42,nicht gewählt,8 depth 0.10-0.20,DanaBunar2
151,,1,151,42,nicht gewählt,9 depth 0.10-0.20,DanaBunar2
152,,1,152,44,nicht gewählt,87 depth 0.06-0.16,DanaBunar2
153,,1,153,44,nicht gewählt,88 depth 0.20-0.30,DanaBunar2
154,,1,154,44,nicht gewählt,89 depth 0.30-0.40,DanaBunar2
155,,1,155,44,nicht gewählt,90 depth 0.16-0.26,DanaBunar2
156,,1,156,44,nicht gewählt,91 depth 0.10-0.20,DanaBunar2
157,,1,157,44,nicht gewählt,92 depth 0.00-0.10,DanaBunar2
158,,1,158,44,nicht gewählt,93 depth 0.30-0.40,DanaBunar2
159,,1,159,46,nicht gewählt,30 depth 0.60-0.70,DanaBunar2
160,,1,160,46,nicht gewählt,31 depth 0.50-0.60,DanaBunar2
161,,1,161,46,nicht gewählt,32 depth 0.60-0.70,DanaBunar2
162,,1,162,46,nicht gewählt,33 depth 0.30-0.40,DanaBunar2
163,,1,163,46,nicht gewählt,34 depth 0.40-0.50,DanaBunar2
164,,1,164,46,nicht gewählt,35 depth 0.30-0.40,DanaBunar2
165,,1,165,47,nicht gewählt,49 depth 0.10-0.20,DanaBunar2
166,,1,166,47,nicht gewählt,50 depth 0.10-0.20,DanaBunar2
167,,1,167,55,nicht gewählt,54 depth 1.00-1.10,DanaBunar2
168,,1,168,55,nicht gewählt,55 depth 1.00-1.10,DanaBunar2
169,,1,169,58,nicht gewählt,23 depth 0.10-0.20,DanaBunar2
170,,1,170,58,nicht gewählt,24 depth 0.30-0.40,DanaBunar2
171,,1,171,58,nicht gewählt,25 depth 0.00-0.10,DanaBunar2
172,,1,172,58,nicht gewählt,26 depth 0.10-0.20,DanaBunar2
173,,1,173,58,nicht gewählt,27 depth 0.30-0.40,DanaBunar2
174,,1,174,58,nicht gewählt,28 depth 0.20-0.30,DanaBunar2
175,,1,175,64,nicht gewählt,11 depth 0.10-0.20,DanaBunar2
176,,1,176,64,nicht gewählt,12 depth 0.36-0.46,DanaBunar2
177,,1,177,64,nicht gewählt,13 depth 0.26-0.36,DanaBunar2
178,,1,178,64,nicht gewählt,16 depth 0.48-0.58,DanaBunar2
179,,2,179,2709_fond,,Isw 2013/32,Iswid
180,,2,180,2905 fond,,Isw 2013/26,Iswid
181,,2,181,2913 fond,,Isw 2013/33,Iswid
182,,2,182,foyer 2174,,Isw 2013/15,Iswid
183,,2,183,US 10503,,Isw 2013/8,Iswid
184,,2,184,US 10521,,Isw 2013/20,Iswid
185,,2,185,US 10534,,Isw 2013/21,Iswid
186,,2,186,US 10610,,Isw 2013/25,Iswid
187,,2,187,US 11004,,Isw 2013/22,Iswid
188,,2,188,US 11012,,Isw 2013/27,Iswid
189,,2,189,US 11067,,Isw 2013/28,Iswid
190,,2,190,US 12025,,Isw 2013/25,Iswid
191,,2,191,US 12040,,Isw 2013/29,Iswid
192,,2,192,US 12047,,Isw 2013/30,Iswid
193,,2,193,US 12504,,Isw 2013/31,Iswid
194,,2,194,US 13017,,Isw 2015/18,Iswid
195,,2,195,US 13017,,Isw 2016/41,Iswid
196,,2,196,US 13065,,Isw 2015/25,Iswid
197,,2,197,US 13066,,Isw 2015/4,Iswid
198,,2,198,US 13083,,Isw 2015/22,Iswid
199,,2,199,US 13099,,Isw 2015/9,Iswid
200,,2,200,US 13145,,Isw 2015/21,Iswid
201,,2,201,US 13516,,Isw 2015/8,Iswid
202,,2,202,US 13526,,Isw 2015/2,Iswid
203,,2,203,US 13572,,Isw 2015/12,Iswid
204,,2,204,US 13610,,Isw 2015/11,Iswid
205,,2,205,US 13632,,Isw 2016/15,Iswid
206,,2,206,US 13639,,Isw2015/26,Iswid
207,,2,207,US 13657,,Isw 2015/17,Iswid
208,,2,208,US 13705,,Isw 2015/10,Iswid
209,,2,209,US 13791,,Isw 2015/5,Iswid
210,,2,210,US 13791 (3),,Isw 2015/7,Iswid
211,,2,211,US 13802,,Isw 2015/20,Iswid
212,,2,212,US 13971,,Isw 2015/7,Iswid
213,,2,213,US 14021,,Isw 2015/1,Iswid
214,,2,214,US 14038,,Isw 2015/3,Iswid
215,,2,215,US 14050,,Isw 2015/24,Iswid
216,,2,216,US 14078,,Isw 2916/23,Iswid
217,,2,217,US 14131,,Isw 2015/13,Iswid
218,,2,218,US 14131,,Isw 2016/12,Iswid
219,,2,219,US 14158,,Isw 2015/14,Iswid
220,,2,220,US 14418,,Isw 2016/34,Iswid
221,,2,221,US 14495,,Isw 16/37,Iswid
222,,2,222,US 14509,,16-Jan,Iswid
223,,2,223,US 14636,,Isw 16/35,Iswid
224,,2,224,US 15067,,Isw 2017/7,Iswid
225,,2,225,US 15071,,Isw 17/4,Iswid
226,,2,226,US 15108,,Isw 17/1,Iswid
227,,2,227,US 15140,,Isw17/26,Iswid
228,,2,228,US 16183,,Isw 2017/8,Iswid
229,,2,229,US 16287_F4185 (TR.),,Isw 17/23,Iswid
230,,2,230,US 16323_F4199(foye,,Isw 17/29,Iswid
