system_id,result_id,Befu,Zustand,ProbNr,cf,ProjektNr,RTyp,PCODE,SumFAnzahl,SumFFrag,SumFGewicht,SumPflR,Zust,geschätzt
89,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,CARE,1.0,0.0,0.0,1,sf,
90,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,CHALB,11.0,0.0,0.0,11,sf,
91,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,GAIS,5.0,0.0,0.0,5,sf,
92,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,GLHEH,2.0,0.0,0.0,2,sf,
93,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,HELE,1.0,0.0,0.0,1,sf,
94,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,POLCO,3.0,0.0,0.0,3,sf,
95,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,POLPE,10.0,0.0,0.0,10,sf,
96,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,PRPAD,1.0,0.0,0.0,1,sf,
97,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,RANU,1.0,0.0,0.0,1,sf,
98,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,RUCRI,1.0,0.0,0.0,1,sf,
99,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,RUIDA,1.0,0.0,0.0,1,sf,
100,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,SIDIO,1.0,0.0,0.0,1,sf,
101,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,SOLA,2.0,0.0,0.0,2,sf,
102,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,STGRA,2.0,0.0,0.0,2,sf,
103,,P6,waterlogged,18_0025_0002,-,18_0025,Sa/Fr,URDIO,6.0,0.0,0.0,6,sf,
104,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,AVSAT,1.0,0.0,0.0,1,vk,
105,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,CARE,4.0,0.0,0.0,4,vk,
106,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,CEREA,10.0,0.0,0.0,10,vk,
107,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,CHALB,48.0,0.0,0.0,48,vk,
108,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,GASPU,10.0,0.0,0.0,10,vk,
109,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,HODIV,5.0,0.0,0.0,5,vk,
110,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,HODVN,1.0,0.0,0.0,1,vk,
111,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,HODVS,1.0,0.0,0.0,1,vk,
112,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,INDET,30.0,0.0,0.0,30,vk,
113,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,LAMI,1.0,0.0,0.0,1,vk,
114,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,POLAP,4.0,0.0,0.0,4,vk,
115,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,POLCO,4.0,0.0,0.0,4,vk,
116,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,SILE,1.0,0.0,0.0,1,vk,
117,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,SPARV,34.0,0.0,0.0,34,vk,
118,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,STGRA,1.0,0.0,0.0,1,vk,
119,,A11148,charred,19_0013_0013,-,19_0013,Sa/Fr,STMES,25.0,0.0,0.0,25,vk,
120,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,AVSAT,1.0,0.0,0.0,1,vk,
121,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,CARE,3.0,0.0,0.0,3,vk,
122,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,CATRI,1.0,0.0,0.0,1,vk,
123,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,CEREA,9.0,0.0,0.0,9,vk,
124,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,CHALB,63.0,0.0,0.0,63,vk,
125,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,COAVE,1.0,0.0,0.0,1,vk,
126,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,GAIS,4.0,0.0,0.0,4,vk,
127,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,GASPU,5.0,0.0,0.0,5,vk,
128,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,HODVN,2.0,0.0,0.0,2,vk,
129,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,HODVS,5.0,0.0,0.0,5,vk,
130,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,INDET,16.0,0.0,0.0,16,vk,
131,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,POACE,4.0,0.0,0.0,4,vk,
132,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,POLAP,7.0,0.0,0.0,7,vk,
133,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,POLCO,7.0,0.0,0.0,7,vk,
134,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,RUCRI,3.0,0.0,0.0,3,vk,
135,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,RUMAC,2.0,0.0,0.0,2,vk,
136,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,SPARV,67.0,0.0,0.0,67,vk,
137,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,STGRA,3.0,0.0,0.0,3,vk,
138,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,STMES,22.0,0.0,0.0,22,vk,
139,,A11148,charred,19_0013_0014,-,19_0013,Sa/Fr,THARV,1.0,0.0,0.0,1,vk,
140,,A11148,charred,19_0013_0015,-,19_0013,Sa/Fr,CEREA,10.0,0.0,0.0,10,vk,
141,,A11148,charred,19_0013_0015,-,19_0013,Sa/Fr,CHALB,16.0,0.0,0.0,16,vk,
142,,A11148,charred,19_0013_0015,-,19_0013,Sa/Fr,INDET,2.0,0.0,0.0,2,vk,
143,,A11148,charred,19_0013_0015,-,19_0013,Sti,INDET,1.0,0.0,0.0,1,vk,
144,,A11148,charred,19_0013_0015,-,19_0013,Sa/Fr,POLAP,1.0,0.0,0.0,1,vk,
145,,A11148,charred,19_0013_0015,-,19_0013,Sa/Fr,POLCO,2.0,0.0,0.0,2,vk,
146,,A11148,charred,19_0013_0015,-,19_0013,Sa/Fr,SPARV,12.0,0.0,0.0,12,vk,
147,,A11148,charred,19_0013_0015,-,19_0013,Sa/Fr,STMES,4.0,0.0,0.0,4,vk,
148,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,CARE,3.0,0.0,0.0,3,vk,
149,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,CEREA,17.0,0.0,0.0,17,vk,
150,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,CHALB,40.0,0.0,0.0,40,vk,
151,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,GAIS,2.0,0.0,0.0,2,vk,
152,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,GALI,3.0,0.0,0.0,3,vk,
153,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,POACE,1.0,0.0,0.0,1,vk,
154,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,POLAP,2.0,0.0,0.0,2,vk,
155,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,POLCO,4.0,0.0,0.0,4,vk,
156,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,RUMAC,3.0,0.0,0.0,3,vk,
157,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,RUME,1.0,0.0,0.0,1,vk,
158,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,SPARV,43.0,0.0,0.0,43,vk,
159,,A11148,charred,19_0013_0020,-,19_0013,Sa/Fr,STMES,7.0,0.0,0.0,7,vk,
160,,A479,charred,19_0013_0010,-,19_0013,Sa/Fr,CARE,1.0,0.0,0.0,1,vk,
161,,A479,charred,19_0013_0010,-,19_0013,Sa/Fr,CEREA,20.0,0.0,0.0,20,vk,
162,,A479,charred,19_0013_0010,-,19_0013,Sa/Fr,GAIS,1.0,0.0,0.0,1,vk,
163,,A479,charred,19_0013_0010,-,19_0013,Sa/Fr,GASPU,5.0,0.0,0.0,5,vk,
164,,A479,charred,19_0013_0010,-,19_0013,Sa/Fr,HODIV,4.0,0.0,0.0,4,vk,
165,,A479,charred,19_0013_0010,-,19_0013,Sa/Fr,HODVS,1.0,0.0,0.0,1,vk,
166,,A479,charred,19_0013_0010,-,19_0013,Sa/Fr,INDET,10.0,0.0,0.0,10,vk,
167,,A479,charred,19_0013_0010,-,19_0013,Sa/Fr,POLAP,2.0,0.0,0.0,2,vk,
168,,A479,charred,19_0013_0010,-,19_0013,Sa/Fr,SPARV,1.0,0.0,0.0,1,vk,
169,,A479,charred,19_0013_0010,-,19_0013,Sa/Fr,STMES,12.0,0.0,0.0,12,vk,
170,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,CATRI,1.0,0.0,0.0,1,vk,
171,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,CEREA,15.0,0.0,0.0,15,vk,
172,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,CHALB,24.0,0.0,0.0,24,vk,
173,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,GASPU,3.0,0.0,0.0,3,vk,
174,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,HELE,1.0,0.0,0.0,1,vk,
175,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,HODVS,1.0,0.0,0.0,1,vk,
176,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,INDET,2.0,0.0,0.0,2,vk,
177,,A479,charred,19_0013_0011,-,19_0013,Sti,INDET,1.0,0.0,0.0,1,vk,
178,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,POACE,1.0,0.0,0.0,1,vk,
179,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,POLAP,1.0,0.0,0.0,1,vk,
180,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,SPARV,1.0,0.0,0.0,1,vk,
181,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,STMES,20.0,0.0,0.0,20,vk,
182,,A479,charred,19_0013_0011,-,19_0013,Sa/Fr,THARV,2.0,0.0,0.0,2,vk,
183,,A479,charred,19_0013_0012,-,19_0013,Sa/Fr,CARE,1.0,0.0,0.0,1,vk,
184,,A479,charred,19_0013_0012,-,19_0013,Sa/Fr,CEREA,10.0,0.0,0.0,10,vk,
185,,A479,charred,19_0013_0012,-,19_0013,Sa/Fr,CHALB,17.0,0.0,0.0,17,vk,
186,,A479,charred,19_0013_0012,-,19_0013,Sa/Fr,GASPU,4.0,0.0,0.0,4,vk,
187,,A479,charred,19_0013_0012,-,19_0013,Sa/Fr,HODIV,2.0,0.0,0.0,2,vk,
188,,A479,charred,19_0013_0012,-,19_0013,Sa/Fr,RUIDA,1.0,0.0,0.0,1,vk,
189,,A479,charred,19_0013_0012,-,19_0013,Sa/Fr,SPARV,1.0,0.0,0.0,1,vk,
190,,A479,charred,19_0013_0012,-,19_0013,Sa/Fr,STMES,10.0,0.0,0.0,10,vk,
191,,A479,charred,19_0013_0019,-,19_0013,Sa/Fr,AVSAT,1.0,0.0,0.0,1,vk,
192,,A479,charred,19_0013_0019,-,19_0013,Sa/Fr,CARE,1.0,0.0,0.0,1,vk,
193,,A479,charred,19_0013_0019,-,19_0013,Sa/Fr,CEREA,10.0,0.0,0.0,10,vk,
194,,A479,charred,19_0013_0019,-,19_0013,Sa/Fr,CHALB,27.0,0.0,0.0,27,vk,
