system_id,result_id,Befu,PCODE,ProbNr,ProjektNr,RTyp,SumFAnzahl,SumFFrag,SumFGewicht,SumPflR,Zust,cf,geschätzt,method_indicator,method_type
87,,P6,ATRI,18_0025_0002,18_0025,Sa/Fr,8.0,0.0,0.0,8,sf,-,,,"ORG2,0"
88,,P6,BITRI,18_0025_0002,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
89,,P6,CARE,18_0025_0002,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
90,,P6,CHALB,18_0025_0002,18_0025,Sa/Fr,11.0,0.0,0.0,11,sf,-,,,"ORG2,0"
91,,P6,GAIS,18_0025_0002,18_0025,Sa/Fr,5.0,0.0,0.0,5,sf,-,,,"ORG2,0"
92,,P6,GLHEH,18_0025_0002,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
93,,P6,HELE,18_0025_0002,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
94,,P6,POLCO,18_0025_0002,18_0025,Sa/Fr,3.0,0.0,0.0,3,sf,-,,,"ORG2,0"
95,,P6,POLPE,18_0025_0002,18_0025,Sa/Fr,10.0,0.0,0.0,10,sf,-,,,"ORG2,0"
96,,P6,PRPAD,18_0025_0002,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
97,,P6,RANU,18_0025_0002,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
98,,P6,RUCRI,18_0025_0002,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
99,,P6,RUIDA,18_0025_0002,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
100,,P6,SIDIO,18_0025_0002,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
101,,P6,SOLA,18_0025_0002,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
102,,P6,STGRA,18_0025_0002,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
103,,P6,URDIO,18_0025_0002,18_0025,Sa/Fr,6.0,0.0,0.0,6,sf,-,,,"ORG2,0"
104,,A11148,AVSAT,19_0013_0013,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
105,,A11148,CARE,19_0013_0013,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
106,,A11148,CEREA,19_0013_0013,19_0013,Sa/Fr,10.0,0.0,0.0,10,vk,-,,,"ORG2,0"
107,,A11148,CHALB,19_0013_0013,19_0013,Sa/Fr,48.0,0.0,0.0,48,vk,-,,,"ORG2,0"
108,,A11148,GASPU,19_0013_0013,19_0013,Sa/Fr,10.0,0.0,0.0,10,vk,-,,,"ORG2,0"
109,,A11148,HODIV,19_0013_0013,19_0013,Sa/Fr,5.0,0.0,0.0,5,vk,-,,,"ORG2,0"
110,,A11148,HODVN,19_0013_0013,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
111,,A11148,HODVS,19_0013_0013,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
112,,A11148,INDET,19_0013_0013,19_0013,Sa/Fr,30.0,0.0,0.0,30,vk,-,,,"ORG2,0"
113,,A11148,LAMI,19_0013_0013,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
114,,A11148,POLAP,19_0013_0013,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
115,,A11148,POLCO,19_0013_0013,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
116,,A11148,SILE,19_0013_0013,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
117,,A11148,SPARV,19_0013_0013,19_0013,Sa/Fr,34.0,0.0,0.0,34,vk,-,,,"ORG2,0"
118,,A11148,STGRA,19_0013_0013,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
119,,A11148,STMES,19_0013_0013,19_0013,Sa/Fr,25.0,0.0,0.0,25,vk,-,,,"ORG2,0"
120,,A11148,AVSAT,19_0013_0014,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
121,,A11148,CARE,19_0013_0014,19_0013,Sa/Fr,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
122,,A11148,CATRI,19_0013_0014,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
123,,A11148,CEREA,19_0013_0014,19_0013,Sa/Fr,9.0,0.0,0.0,9,vk,-,,,"ORG2,0"
124,,A11148,CHALB,19_0013_0014,19_0013,Sa/Fr,63.0,0.0,0.0,63,vk,-,,,"ORG2,0"
125,,A11148,COAVE,19_0013_0014,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
