system_id,taxon_id,author_id,genus_id,species,system_id,Achtung,BNam,Familie,Name D,Name_E,Name_F,Name_I,PCODE,S_Od,TaxAut
115,,0,0,Bnam,115,,Leontodon spec.,Asteraceae,,,,,LEON,,L.
116,,0,0,Bnam,116,,Menyanthes trifoliata,Menyanthaceae,,Bogbean,Trèfle d'eau,Trifoglio fibrino,METRI,,L.
117,,0,0,Bnam,117,,Ruppia maritima,Ruppiaceae,,Beaked Tasselweed,,,RUMMA,,L.
118,,0,0,Bnam,118,,Thalictrum flavum,Ranunculaceae,Gelbe Wiesenraute,Common Meadow Rue,Pigamon jaune,Pigamo giallo,THFLA,420,L.
119,,0,0,Bnam,119,,Trientalis europaea,Primulaceae,,Chickweed-wintergreen,Trientalis d'Europe,Trientalis,TRIEU,,L.
120,,0,0,Bnam,120,,Cirsium spec.,Asteraceae,Kratzdistel,Thistle,Cirse,,CIRS,964,Mill.
121,,0,0,Bnam,121,,Alopecurus,,,,,,ALOP,,
122,,0,0,Bnam,122,,Chaerophyllum,,,,,,CHAE,,
123,,0,0,Bnam,123,cf,Sorbus spec.,Rosaceae,"Eberesche, Speierling, Mehlbeere",Mountain-Ash,Sorbier,,SORB,503,L.
124,,0,0,Bnam,124,,Prunus cerasus s.l.,Rosaceae,Weichselkirsche,Dwarf Cherry,Griottier,Marena,PRCER,573,L.
125,,0,0,Bnam,125,,Betula pubescens,Betulaceae,Moor-Birke,Downy-Birch,Bouleau pubescent,Betulla pubescente,BEPUB,313,Ehrh.
126,,0,0,Bnam,126,,Clinopodium,,,,,,CLIN,,
127,,0,0,Bnam,127,,Pedicularis palustris,Scrophulariaceae,,Marsh Lousewort,Pédiculaire des marais,Pedicolare palustre,PEDPA,,L.
128,,0,0,Bnam,128,,Vicia spec.,Fabaceae,Wicke,Tare,Vesce,,VICI,607.0,L.
129,,0,0,Bnam,129,,Festuca altissima,Poaceae,,Wood Fescue,Grande fétuque,Festuca dei boschi,FEALT,,All.
130,,0,0,Bnam,130,,Arctostaphylos uva-ursi,Ericaceae,,Bearberry,Raisin d'ours commun,Uva ursina,ARUVA,,(L.) Spreng.
131,,0,0,Bnam,131,,Triticum monococcum/dicoccum,Poaceae,Einkorn/Emmer,Einkorn/Emmer,,,TRMOD,234/234,L./Schrank
132,,0,0,Bnam,132,!,Vitis vinifera,Vitaceae,Wein-Rebe,Grape-vine,Vigne,Vite comune,VIVIN,653,L.
133,,0,0,Bnam,133,,Euphorbia,Euphorbiaceae,,,,,EUPH,,L.
134,,0,0,Bnam,134,,Portulaca oleracea s.l.,Portulacaceae,Portulak s.l.,,,,POOLE,356,L.
135,,0,0,Bnam,135,,Triticum dicoccum,Poaceae,Emmer,Emmer,,,TRDIC,234,(Schrank) Schübl.
136,,0,0,Bnam,136,,Setaria verticillata/viridis,Poaceae,Quirlige/Grüne Borstenhirse,,,,SEVEV,266/266,(L.) P. Beauv./(L.) P. Beauv.
137,,0,0,Bnam,137,,Sambucus spec.,Caprifoliaceae,Holunder,,,,SAMB,875,L.
138,,0,0,Bnam,138,,Triticum monococcum,Poaceae,Einkorn,Einkorn,Petit épeautre,Farro,TRMOC,234,L.
139,,0,0,Bnam,139,,Lens culinaris,Fabaceae,Linse,Lentil,Lentille comestible,Lenticchia comune,LECUL,607,Medik.
140,,0,0,Bnam,140,,Panicum miliaceum,Poaceae,Echte Hirse,Common Millet,Millet cultivé,Panico coltivato,PAMIL,264,L.
141,,0,0,Bnam,141,,Phleum pratense s.str.,Poaceae,,,,,PHPRP,,L.
142,,0,0,Bnam,142,,Pisum sativum,Fabaceae,Erbse,Garden Pea,Pois cultivé,Pisello,PISAT,620,L.
143,,0,0,Bnam,143,,Scleranthus annuus s.str.,Caryophyllaceae,Einjähriges Knäuelkraut,,,,SCANA,386,L.
