sample_id,taxon_id,BNam,Befu,PCODE,ProbNr,ProjektNr,TaxAut
6,36,Indeterminata,A11148,INDET,19_0013_0013,19_0013,
6,49,Lamium spec.,A11148,LAMI,19_0013_0013,19_0013,L.
6,50,Polygonum lapathifolium agg.,A11148,POLAP,19_0013_0013,19_0013,L.
6,13,Polygonum convolvulus,A11148,POLCO,19_0013_0013,19_0013,(L.) A. Löve
6,18,Silene spec.,A11148,SILE,19_0013_0013,19_0013,L.
6,20,Spergula arvensis,A11148,SPARV,19_0013_0013,19_0013,L.
6,21,Stellaria graminea,A11148,STGRA,19_0013_0013,19_0013,L.
6,22,Stellaria media,A11148,STMES,19_0013_0013,19_0013,
7,43,Avena sativa,A11148,AVSAT,19_0013_0014,19_0013,L.
7,35,Carex spec.,A11148,CARE,19_0013_0014,19_0013,
7,51,Carex spec. tricarpellat,A11148,CATRI,19_0013_0014,19_0013,
7,44,Cerealia indet.,A11148,CEREA,19_0013_0014,19_0013,
7,6,Chenopodium album,A11148,CHALB,19_0013_0014,19_0013,L.
7,27,Corylus avellana,A11148,COAVE,19_0013_0014,19_0013,L.
7,8,Galeopsis spec.,A11148,GAIS,19_0013_0014,19_0013,L.
7,45,Galium spurium,A11148,GASPU,19_0013_0014,19_0013,L.
7,47,Hordeum distichon/vulgare Nacktgerste,A11148,HODVN,19_0013_0014,19_0013,
7,48,Hordeum distichon/vulgare Spelzgerste,A11148,HODVS,19_0013_0014,19_0013,
7,36,Indeterminata,A11148,INDET,19_0013_0014,19_0013,
7,52,Poaceae,A11148,POACE,19_0013_0014,19_0013,
7,50,Polygonum lapathifolium agg.,A11148,POLAP,19_0013_0014,19_0013,L.
7,13,Polygonum convolvulus,A11148,POLCO,19_0013_0014,19_0013,(L.) A. Löve
7,42,Rumex crispus,A11148,RUCRI,19_0013_0014,19_0013,L.
7,53,Rumex acetosella agg.,A11148,RUMAC,19_0013_0014,19_0013,
7,20,Spergula arvensis,A11148,SPARV,19_0013_0014,19_0013,L.
7,21,Stellaria graminea,A11148,STGRA,19_0013_0014,19_0013,L.
7,22,Stellaria media,A11148,STMES,19_0013_0014,19_0013,
7,54,Thlaspi arvense,A11148,THARV,19_0013_0014,19_0013,L.
8,44,Cerealia indet.,A11148,CEREA,19_0013_0015,19_0013,
8,6,Chenopodium album,A11148,CHALB,19_0013_0015,19_0013,L.
8,36,Indeterminata,A11148,INDET,19_0013_0015,19_0013,
8,36,Indeterminata,A11148,INDET,19_0013_0015,19_0013,
8,50,Polygonum lapathifolium agg.,A11148,POLAP,19_0013_0015,19_0013,L.
8,13,Polygonum convolvulus,A11148,POLCO,19_0013_0015,19_0013,(L.) A. Löve
8,20,Spergula arvensis,A11148,SPARV,19_0013_0015,19_0013,L.
8,22,Stellaria media,A11148,STMES,19_0013_0015,19_0013,
9,35,Carex spec.,A11148,CARE,19_0013_0020,19_0013,
9,44,Cerealia indet.,A11148,CEREA,19_0013_0020,19_0013,
9,6,Chenopodium album,A11148,CHALB,19_0013_0020,19_0013,L.
9,8,Galeopsis spec.,A11148,GAIS,19_0013_0020,19_0013,L.
9,55,Galium spec.,A11148,GALI,19_0013_0020,19_0013,L.
9,52,Poaceae,A11148,POACE,19_0013_0020,19_0013,
9,50,Polygonum lapathifolium agg.,A11148,POLAP,19_0013_0020,19_0013,L.
9,13,Polygonum convolvulus,A11148,POLCO,19_0013_0020,19_0013,(L.) A. Löve
9,53,Rumex acetosella agg.,A11148,RUMAC,19_0013_0020,19_0013,
9,56,Rumex spec.,A11148,RUME,19_0013_0020,19_0013,L.
9,20,Spergula arvensis,A11148,SPARV,19_0013_0020,19_0013,L.
9,22,Stellaria media,A11148,STMES,19_0013_0020,19_0013,
10,35,Carex spec.,A479,CARE,19_0013_0010,19_0013,
10,44,Cerealia indet.,A479,CEREA,19_0013_0010,19_0013,
10,8,Galeopsis spec.,A479,GAIS,19_0013_0010,19_0013,L.
10,45,Galium spurium,A479,GASPU,19_0013_0010,19_0013,L.
10,46,Hordeum distichon/vulgare,A479,HODIV,19_0013_0010,19_0013,L./L.
10,48,Hordeum distichon/vulgare Spelzgerste,A479,HODVS,19_0013_0010,19_0013,
10,36,Indeterminata,A479,INDET,19_0013_0010,19_0013,
10,50,Polygonum lapathifolium agg.,A479,POLAP,19_0013_0010,19_0013,L.
10,20,Spergula arvensis,A479,SPARV,19_0013_0010,19_0013,L.
10,22,Stellaria media,A479,STMES,19_0013_0010,19_0013,
11,51,Carex spec. tricarpellat,A479,CATRI,19_0013_0011,19_0013,
11,44,Cerealia indet.,A479,CEREA,19_0013_0011,19_0013,
11,6,Chenopodium album,A479,CHALB,19_0013_0011,19_0013,L.
11,45,Galium spurium,A479,GASPU,19_0013_0011,19_0013,L.
11,10,Eleocharis,A479,HELE,19_0013_0011,19_0013,
11,48,Hordeum distichon/vulgare Spelzgerste,A479,HODVS,19_0013_0011,19_0013,
11,36,Indeterminata,A479,INDET,19_0013_0011,19_0013,
11,36,Indeterminata,A479,INDET,19_0013_0011,19_0013,
11,52,Poaceae,A479,POACE,19_0013_0011,19_0013,
11,50,Polygonum lapathifolium agg.,A479,POLAP,19_0013_0011,19_0013,L.
11,20,Spergula arvensis,A479,SPARV,19_0013_0011,19_0013,L.
11,22,Stellaria media,A479,STMES,19_0013_0011,19_0013,
11,54,Thlaspi arvense,A479,THARV,19_0013_0011,19_0013,L.
12,35,Carex spec.,A479,CARE,19_0013_0012,19_0013,
12,44,Cerealia indet.,A479,CEREA,19_0013_0012,19_0013,
12,6,Chenopodium album,A479,CHALB,19_0013_0012,19_0013,L.
12,45,Galium spurium,A479,GASPU,19_0013_0012,19_0013,L.
12,46,Hordeum distichon/vulgare,A479,HODIV,19_0013_0012,19_0013,L./L.
12,17,Rubus idaeus,A479,RUIDA,19_0013_0012,19_0013,L.
12,20,Spergula arvensis,A479,SPARV,19_0013_0012,19_0013,L.
12,22,Stellaria media,A479,STMES,19_0013_0012,19_0013,
13,43,Avena sativa,A479,AVSAT,19_0013_0019,19_0013,L.
13,35,Carex spec.,A479,CARE,19_0013_0019,19_0013,
13,44,Cerealia indet.,A479,CEREA,19_0013_0019,19_0013,
13,6,Chenopodium album,A479,CHALB,19_0013_0019,19_0013,L.
13,27,Corylus avellana,A479,COAVE,19_0013_0019,19_0013,L.
13,45,Galium spurium,A479,GASPU,19_0013_0019,19_0013,L.
13,50,Polygonum lapathifolium agg.,A479,POLAP,19_0013_0019,19_0013,L.
13,20,Spergula arvensis,A479,SPARV,19_0013_0019,19_0013,L.
13,22,Stellaria media,A479,STMES,19_0013_0019,19_0013,
14,44,Cerealia indet.,A6214,CEREA,19_0013_0007,19_0013,
14,6,Chenopodium album,A6214,CHALB,19_0013_0007,19_0013,L.
14,27,Corylus avellana,A6214,COAVE,19_0013_0007,19_0013,L.
14,45,Galium spurium,A6214,GASPU,19_0013_0007,19_0013,L.
14,50,Polygonum lapathifolium agg.,A6214,POLAP,19_0013_0007,19_0013,L.
14,16,Ranunculus spec.,A6214,RANU,19_0013_0007,19_0013,L.
14,57,Solanum nigrum,A6214,SONIG,19_0013_0007,19_0013,L.
14,20,Spergula arvensis,A6214,SPARV,19_0013_0007,19_0013,L.
14,22,Stellaria media,A6214,STMES,19_0013_0007,19_0013,
15,58,Brassica spec.,A6214,BRAS,19_0013_0008,19_0013,L.
15,44,Cerealia indet.,A6214,CEREA,19_0013_0008,19_0013,
15,6,Chenopodium album,A6214,CHALB,19_0013_0008,19_0013,L.
15,46,Hordeum distichon/vulgare,A6214,HODIV,19_0013_0008,19_0013,L./L.
15,36,Indeterminata,A6214,INDET,19_0013_0008,19_0013,
15,50,Polygonum lapathifolium agg.,A6214,POLAP,19_0013_0008,19_0013,L.
15,22,Stellaria media,A6214,STMES,19_0013_0008,19_0013,
15,59,Triticum aestivum s.l./durum/turgidum,A6214,TRAED,19_0013_0008,19_0013,L./L.
16,35,Carex spec.,A6214,CARE,19_0013_0009,19_0013,
16,44,Cerealia indet.,A6214,CEREA,19_0013_0009,19_0013,
16,6,Chenopodium album,A6214,CHALB,19_0013_0009,19_0013,L.
16,27,Corylus avellana,A6214,COAVE,19_0013_0009,19_0013,L.
16,45,Galium spurium,A6214,GASPU,19_0013_0009,19_0013,L.
16,46,Hordeum distichon/vulgare,A6214,HODIV,19_0013_0009,19_0013,L./L.
16,22,Stellaria media,A6214,STMES,19_0013_0009,19_0013,
17,58,Brassica spec.,A6214,BRAS,19_0013_0018,19_0013,L.
17,44,Cerealia indet.,A6214,CEREA,19_0013_0018,19_0013,
17,6,Chenopodium album,A6214,CHALB,19_0013_0018,19_0013,L.
17,45,Galium spurium,A6214,GASPU,19_0013_0018,19_0013,L.
17,36,Indeterminata,A6214,INDET,19_0013_0018,19_0013,
17,50,Polygonum lapathifolium agg.,A6214,POLAP,19_0013_0018,19_0013,L.
18,44,Cerealia indet.,A8090,CEREA,19_0013_0004,19_0013,
18,6,Chenopodium album,A8090,CHALB,19_0013_0004,19_0013,L.
18,45,Galium spurium,A8090,GASPU,19_0013_0004,19_0013,L.
18,48,Hordeum distichon/vulgare Spelzgerste,A8090,HODVS,19_0013_0004,19_0013,
18,56,Rumex spec.,A8090,RUME,19_0013_0004,19_0013,L.
18,22,Stellaria media,A8090,STMES,19_0013_0004,19_0013,
18,59,Triticum aestivum s.l./durum/turgidum,A8090,TRAED,19_0013_0004,19_0013,L./L.
19,51,Carex spec. tricarpellat,A8090,CATRI,19_0013_0005,19_0013,
19,44,Cerealia indet.,A8090,CEREA,19_0013_0005,19_0013,
19,6,Chenopodium album,A8090,CHALB,19_0013_0005,19_0013,L.
19,45,Galium spurium,A8090,GASPU,19_0013_0005,19_0013,L.
19,46,Hordeum distichon/vulgare,A8090,HODIV,19_0013_0005,19_0013,L./L.
19,48,Hordeum distichon/vulgare Spelzgerste,A8090,HODVS,19_0013_0005,19_0013,
19,36,Indeterminata,A8090,INDET,19_0013_0005,19_0013,
19,22,Stellaria media,A8090,STMES,19_0013_0005,19_0013,
20,44,Cerealia indet.,A8090,CEREA,19_0013_0006,19_0013,
20,6,Chenopodium album,A8090,CHALB,19_0013_0006,19_0013,L.
20,36,Indeterminata,A8090,INDET,19_0013_0006,19_0013,
20,50,Polygonum lapathifolium agg.,A8090,POLAP,19_0013_0006,19_0013,L.
21,51,Carex spec. tricarpellat,A8090,CATRI,19_0013_0017,19_0013,
21,44,Cerealia indet.,A8090,CEREA,19_0013_0017,19_0013,
21,6,Chenopodium album,A8090,CHALB,19_0013_0017,19_0013,L.
21,27,Corylus avellana,A8090,COAVE,19_0013_0017,19_0013,L.
21,36,Indeterminata,A8090,INDET,19_0013_0017,19_0013,
22,44,Cerealia indet.,A9063,CEREA,19_0013_0001,19_0013,
22,6,Chenopodium album,A9063,CHALB,19_0013_0001,19_0013,L.
22,46,Hordeum distichon/vulgare,A9063,HODIV,19_0013_0001,19_0013,L./L.
22,48,Hordeum distichon/vulgare Spelzgerste,A9063,HODVS,19_0013_0001,19_0013,
22,36,Indeterminata,A9063,INDET,19_0013_0001,19_0013,
22,60,Linum usitatissimum,A9063,LIUSI,19_0013_0001,19_0013,L.
22,61,Medicago/Melilotus,A9063,MEDME,19_0013_0001,19_0013,
23,58,Brassica spec.,A9063,BRAS,19_0013_0002,19_0013,L.
23,44,Cerealia indet.,A9063,CEREA,19_0013_0002,19_0013,
23,6,Chenopodium album,A9063,CHALB,19_0013_0002,19_0013,L.
23,8,Galeopsis spec.,A9063,GAIS,19_0013_0002,19_0013,L.
23,45,Galium spurium,A9063,GASPU,19_0013_0002,19_0013,L.
23,19,Solanum spec.,A9063,SOLA,19_0013_0002,19_0013,L.
23,20,Spergula arvensis,A9063,SPARV,19_0013_0002,19_0013,L.
24,44,Cerealia indet.,A9063,CEREA,19_0013_0003,19_0013,
