system_id,sample_sample_type_id,sample_id,sample_type_id,description,type_name,Befu,ProbNr,ProbTyp,ProjektNr
148,,148,1,,Eim,42,6 depth 0.00-0.10,Eim,DanaBunar2
149,,149,1,,Eim,42,7 depth 0.00-0.10,Eim,DanaBunar2
150,,150,1,,Eim,42,8 depth 0.10-0.20,Eim,DanaBunar2
151,,151,1,,Eim,42,9 depth 0.10-0.20,Eim,DanaBunar2
152,,152,1,,Eim,44,87 depth 0.06-0.16,Eim,DanaBunar2
153,,153,1,,Eim,44,88 depth 0.20-0.30,Eim,DanaBunar2
154,,154,1,,Eim,44,89 depth 0.30-0.40,Eim,DanaBunar2
155,,155,1,,Eim,44,90 depth 0.16-0.26,Eim,DanaBunar2
156,,156,1,,Eim,44,91 depth 0.10-0.20,Eim,DanaBunar2
157,,157,1,,Eim,44,92 depth 0.00-0.10,Eim,DanaBunar2
158,,158,1,,Eim,44,93 depth 0.30-0.40,Eim,DanaBunar2
159,,159,1,,Eim,46,30 depth 0.60-0.70,Eim,DanaBunar2
160,,160,1,,Eim,46,31 depth 0.50-0.60,Eim,DanaBunar2
161,,161,1,,Eim,46,32 depth 0.60-0.70,Eim,DanaBunar2
162,,162,1,,Eim,46,33 depth 0.30-0.40,Eim,DanaBunar2
163,,163,1,,Eim,46,34 depth 0.40-0.50,Eim,DanaBunar2
164,,164,1,,Eim,46,35 depth 0.30-0.40,Eim,DanaBunar2
165,,165,1,,Eim,47,49 depth 0.10-0.20,Eim,DanaBunar2
166,,166,1,,Eim,47,50 depth 0.10-0.20,Eim,DanaBunar2
167,,167,1,,Eim,55,54 depth 1.00-1.10,Eim,DanaBunar2
168,,168,1,,Eim,55,55 depth 1.00-1.10,Eim,DanaBunar2
169,,169,1,,Eim,58,23 depth 0.10-0.20,Eim,DanaBunar2
170,,170,1,,Eim,58,24 depth 0.30-0.40,Eim,DanaBunar2
171,,171,1,,Eim,58,25 depth 0.00-0.10,Eim,DanaBunar2
172,,172,1,,Eim,58,26 depth 0.10-0.20,Eim,DanaBunar2
173,,173,1,,Eim,58,27 depth 0.30-0.40,Eim,DanaBunar2
174,,174,1,,Eim,58,28 depth 0.20-0.30,Eim,DanaBunar2
175,,175,1,,Eim,64,11 depth 0.10-0.20,Eim,DanaBunar2
176,,176,1,,Eim,64,12 depth 0.36-0.46,Eim,DanaBunar2
177,,177,1,,Eim,64,13 depth 0.26-0.36,Eim,DanaBunar2
